,s_name,case p_type when 1 then '阅读' when 2 then '艺术' when 3 then '课程' when 4 then '万里行' end,is_use
0,浦东新区进才外国语中学,阅读,1
1,闵行区平南小学,阅读,1
2,思来氏未来小学,阅读,1
3,长宁区绿苑小学,阅读,1
4,普陀区曹杨实验小学,阅读,1
5,普陀区真如文英中心小学,阅读,1
6,普陀区武宁路小学,阅读,1
7,普陀区中山北路第一小学,阅读,1
8,普陀区朝春中心小学,阅读,1
9,洛川东路小学,阅读,1
10,静安区市西小学,阅读,1
11,徐汇区康健外国语实验小学,阅读,1
12,民办童园实验小学,阅读,0
13,闸北实验小学,阅读,1
14,嘉定区马陆小学,阅读,1
15,常州市实验小学,阅读,1
16,金山区海棠小学,阅读,1
17,杨浦区齐齐哈尔路第一小学,阅读,1
18,上海市金山区教院附小,阅读,1
19,金山区海丰幼儿园,阅读,1
20,宝山区红星幼儿园,阅读,1
21,嘉定区方泰中学,阅读,1
22,长宁区哈密路小学,阅读,1
23,闵行区佳佳中心幼儿园,阅读,1
24,黄浦区复兴东路第三小学,阅读,1
25,宝山区陈伯吹实验幼儿园,阅读,1
26,上海市杨泰实验学校,阅读,1
27,金山区吕巷幼儿园,阅读,1
28,宁波市洪塘中心小学,阅读,1
29,青浦区实验小学,阅读,1
30,徐汇区田林第六幼儿园,阅读,1
31,普陀区华阴小学,阅读,1
32,长宁区愚园路第一小学,阅读,1
33,嘉兴市实验小学,阅读,1
34,北京市八一学校,阅读,1
35,北京市八一学校附属玉泉中学,阅读,1
36,宝山区第三中心小学,阅读,1
37,静安区中山北路小学,阅读,1
38,南宁市位子渌小学,阅读,1
39,合肥市望湖小学,阅读,1
40,杨浦区同济大学附属存志学校,阅读,1
41,闵行区黄浦一中心世博小学,阅读,1
42,海口市英才小学,阅读,0
43,常州市西新桥实验小学,阅读,1
44,金山区亭林小学,阅读,1
45,长宁区复旦小学,阅读,1
46,下町小学校,阅读,1
47,华东师范大学附属小学,阅读,1
48,上海田家炳中学,阅读,1
49,上海理工大学附属中学,阅读,1
